year;number;IUPAC anionic;IUPAC neutral;CAS anionic;CAS neutral;SMILES anionic;SMILES neutral;HIL;HIL t, nm;HIL, HOMO;HIL, LUMO;HIL_HTL, HOMO;HIL_HTL, LUMO;HTL;HTL tikness, nm;HTL, HOMO;HTL, LUMO;HTL_EML, HOMO;HTL_EML, LUMO;EML tikness, nm;HOMO, anionic lig;LUMO, anionic lig;HOMO, neutral lig;LUMO, neutral lig;HOMO, EML;LUMO, EML;HOMO, EML clc from lig;LUMO, EML clc from lig;EML_Matrix, HOMO;EML_Matrix, LUMO;Matrix;EML/Matrix;EML method;Matrix HOMO;Matrix LUMO;EML_ETL, HOMO;EML_ETL, LUMO;ETL1;ETL1, nm;ETL1, HOMO;ETL1, LUMO;ETL1_ETL2, HOMO;ETL1_ETL2, LUMO;ETL2;ETL2, nm;ETL2, HOMO;ETL2, LUMO;ETL2_EIL, LUMO;EIL;EIL, nm;LUMO;EIL_Cath, LUMO;Cathode1;nm;LUMO;Cathode;nm;LUMO;Max. irradiance, uW/cm2;EQE, %;ECE, uW/W;Uon;t, us;QY, %;HOMO;LUMO;EML hole mobilty, cm2/Vs;EML electron mobility, cm2/Vs;EML total, cm2/Vs;Pixel size, mm2;Doi
2001;Yb-1.1;5,10,15,20-tetraphenylporphyrin;pentane-2,4-dione;917-23-7;123-54-6;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;CC(=O)CC(C)=O;PEDOT:PSS;;-5.2;-2.3;0.1;0.7;;;;;0.1;0.7;;-4.917372094;-2.206028198;-6.826523918;-1.226962026;;;-5.871948006;-1.716495112;-0.57;1.28;MEH-PPV ;0.05;SC;-5.3;-3;;-0.02;;;;;;;;;;;-0.02;;;;;Ca;5;-2.98;Al;150;-4.2;;0.015;;4;;;;;;;;;10.1063/1.1421413
;;5,10,15,20-tetraphenylporphyrin;pentane-2,4-dione;917-23-7;123-54-6;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;CC(=O)CC(C)=O;PEDOT:PSS;;-5.2;-2.3;0.7;-0.6;;;;;0.67;-0.58;;-4.917372094;-2.206028198;-6.826523918;-1.226962026;;;-5.871948006;-1.716495112;;;PPP-OR11 ;0.2;SC;;;;1.26;;;;;;;;;;;1.26;;;;;Ca;5;-2.98;Al;150;-4.2;;0.1;;4;;;;;;;;;10.1063/1.1421413
2003;Yb-1.2;5,10,15,20-tetraphenylporphyrin;Not defined;917-23-7;;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;;PEDOT:PSS;;-5.2;-2.3;-0.3;-0.1;;;;;-0.28;-0.09;;-4.917372094;-2.206028198;;;;;-4.917372094;-2.206028198;;;PS;4;SC;;;;0.77;;;;;;;;;;;0.77;;;;;Ca;5;-2.98;Al;200;-4.2;0.6;0.1;;4;32;3.2;;;;;;;10.1002/adfm.200390031
2004;;5,10,15,20-tetraphenylporphyrin;Not defined;917-23-7;;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;;PEDOT-PSS ;;-5.2;-2.3;-0.3;-0.1;;;;;-0.28;-0.09;;-4.917372094;-2.206028198;;;;;-4.917372094;-2.206028198;;;PPP-OR11;0.1;SC;;;;0.77;;;;;;;;;;;0.77;;;;;Ca;5;-2.98;Al;200;-4.2;;;;;32;3.2;;;;;;;10.1021/cm049937f
;Yb-1.3;5,10,15,20-tetraphenylporphyrin;tri(1H-pyrazol-1-yl)-l4-borane;917-23-7;18583-60-3;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;[K+].c1cnn(c1)[BH-](n2cccn2)n3cccn3;PEDOT-PSS ;;-5.2;-2.3;0.1;-0.5;;;;;0.06;-0.5;;-4.917372094;-2.206028198;-5.595208068;-1.392135224;;;-5.256290081;-1.799081711;;;PPP-OR11;0.05;SC;;;;1.18;;;;;;;;;;;1.18;;;;;Ca;5;-2.98;Al;200;-4.2;1.6;0.005;;6;43;3.4;;;;;;;10.1021/cm049937f
;;5,10,15,20-tetraphenylporphyrin;tri(1H-pyrazol-1-yl)-l4-borane;917-23-7;18583-60-3;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;[K+].c1cnn(c1)[BH-](n2cccn2)n3cccn3;PEDOT-PSS ;;-5.2;-2.3;0.1;-0.5;;;;;0.06;-0.5;;-4.917372094;-2.206028198;-5.595208068;-1.392135224;;;-5.256290081;-1.799081711;;;PPP-OR11;0.1;SC;;;;1.18;;;;;;;;;;;1.18;;;;;Ca;5;-2.98;Al;200;-4.2;5;0.018;;5;43;3.4;;;;;;;10.1021/cm049937f
;;5,10,15,20-tetraphenylporphyrin;tri(1H-pyrazol-1-yl)-l4-borane;917-23-7;18583-60-3;[nH]1c2ccc1c(c3ccccc3)c4ccc(n4)c(c5[nH]c(cc5)c(c6ccccc6)c7ccc(n7)c2c8ccccc8)c9ccccc9;[K+].c1cnn(c1)[BH-](n2cccn2)n3cccn3;PEDOT-PSS ;;-5.2;-2.3;0.1;-0.5;;;;;0.06;-0.5;;-4.917372094;-2.206028198;-5.595208068;-1.392135224;;;-5.256290081;-1.799081711;;;PPP-OR11;0.15;SC;;;;1.18;;;;;;;;;;;1.18;;;;;Ca;5;-2.98;Al;200;-4.2;10;0.013;;5;43;3.4;;;;;;;10.1021/cm049937f
2000;Yb-2;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;TPD;50;-5.5;-2.3;1;-0.6;;;;;1.03;-0.58;25;-6.700263022;-1.724658532;-6.016712654;-1.696358676;;;-6.52937543;-1.717583568;;;;;TVD;;;-0.73;0.98;;;;;;;Alq3;50;-5.8;-2.7;1.62;;;;;;;;Mg,Ag (10:1);100;-4.32;;;;15;12;1.41;;;;;;;10.1246/cl.2000.280
2001;;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;TPD;30;-5.5;-2.3;0;0;;;;;0;0;30;-6.700263022;-1.724658532;-6.016712654;-1.696358676;;;-6.52937543;-1.717583568;-1.03;0.58;TPD;1;TVD;-5.5;-2.3;1.02937543;-0.582416432;;;;;;;Yb-2;60;-6.52937543;-1.717583568;2.602416432;;;;;;;;Mg:Ag;150;-4.32;;;;4.5;12;1.41;;;;;;;10.1016/S0040-6090(01)00831-8
2001;;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;TPD;40;-5.5;-2.3;1;-0.6;;;;;1.03;-0.58;20;-6.700263022;-1.724658532;-6.016712654;-1.696358676;;;-6.52937543;-1.717583568;;;;;TVD;;;0.17;1.18;;;;;;;BCP;40;-6.7;-2.9;1.42;;;;;;;;Mg:Ag (10:1);150;-4.32;;3.00E-04;;9;12;1.41;;;;;;;10.1143/JJAP.40.350
2012;Yb-3.1;4-(4-(tert-butyl)benzoyl)-5-methyl-2-phenyl-2,4-dihydro-3H-pyrazol-3-one;4,7-diphenyl-1,10-phenanthroline;Not defined;1662-01-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)c3ccc(cc3)C(C)(C)C;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;NPB;20;-5.5;-2.4;0;0;;;;;0;0;50;-5.861607674;-1.828061852;-6.016712654;-1.696358676;;;-5.939160164;-1.762210264;-0.44;0.64;NPB;1;TVD;-5.5;-2.4;0.3;0.3;;;;;0.3;0.3;Alq3;40;-5.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;150;-4.2;0.14;0.00073;;7;18;0.9;;;;;;;10.1016/j.tsf.2011.12.052
;;4-(4-(tert-butyl)benzoyl)-5-methyl-2-phenyl-2,4-dihydro-3H-pyrazol-3-one;4,7-diphenyl-1,10-phenanthroline;Not defined;1662-01-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)c3ccc(cc3)C(C)(C)C;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;NPB;20;-5.5;-2.4;0;0;Yb-3.1:NPB;30;-5.5;-2.4;0.44;-0.64;50;-5.861607674;-1.828061852;-6.016712654;-1.696358676;;;-5.939160164;-1.762210264;;;;;TVD;;;;1.84;;;;;;;;;;;;LiF;1;-3.6;0.6;;;;Al;150;-4.2;0.42;0.0064;;6.3;18;0.9;;;;;;;10.1016/j.tsf.2011.12.052
;Yb-3.2;4-isobutyryl-5-methyl-2-phenyl-2,4-dihydro-3H-pyrazol-3-one;triphenylphosphine oxide;Not defined;791-28-6;CC(C)C(=O)C1C(=NN(c2ccccc2)C1=O)C;O=[P](c1ccccc1)(c2ccccc2)c3ccccc3;NPB;30;-5.5;-2.4;0.9;-1.4;;;;;0.86;-1.44;50;-5.871403778;-1.14696051;-6.849653608;-0.766273024;;;-6.360528693;-0.956616767;;;;;TVD;;;0.339471307;1.943383233;BCP;20;-6.7;-2.9;-0.9;-0.2;Alq3;30;-5.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;150;-4.2;0.8;;0.1;10;24;1.2;;;;;;;10.1016/j.tsf.2011.12.052
;Yb-3.1/3.2;;;;;;;NPB;20;-5.5;-2.4;0.6;-1;Yb-3.2;20;;;0.65;-1.04;40;;;;;;;-6.149844429;-1.359413516;;;;;TVD;;;-0.35;1.34;;;;;;;Alq3;20;-5.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;150;-4.2;1.47;0.027;;6.7;;;;;;;;;10.1016/j.tsf.2011.12.052
2016;Yb-4.0;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;water;326-91-0;7732-18-5;FC(F)(F)C(=O)CC(=O)c1sccc1;O;b-NPB;25;-5.2;-2.4;0.7;0.3;;;;;0.72;0.26;40;-7.12666566;-2.17555143;;;-5.92;-2.66;-5.344999245;-1.631663573;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;6;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;2;;;8;1.2;0.38;-5.92;-2.66;;;1.24E-10;;10.1016/j.tsf.2016.07.076
;Yb-4.1;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;(sulfinylbis(methylene))dibenzene;326-91-0;56573-82-1;FC(F)(F)C(=O)CC(=O)c1sccc1;O=[S](Cc1ccccc1)Cc2ccccc2;b-NPB;25;-5.2;-2.4;0.7;0.3;;;;;0.72;0.26;40;-7.12666566;-2.17555143;-5.951949522;-0.651440916;-5.92;-2.66;-6.832986626;-1.794523802;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;10;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;22.48;;51;7.6;;2.4;-5.92;-2.66;6.24E-08;2.69E-12;3.21E-06;;10.1016/j.tsf.2016.07.076
;Yb-4.2;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;sulfinyldibenzene;326-91-0;945-51-7;FC(F)(F)C(=O)CC(=O)c1sccc1;O=[S](c1ccccc1)c2ccccc2;b-NPB;25;-5.2;-2.4;0.7;0.3;;;;;0.72;0.26;40;-7.12666566;-2.17555143;-6.17834837;-0.829131358;-5.92;-2.66;-6.889586338;-1.838946412;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;10;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;12.13;;44;7.7;;1.41;-5.92;-2.66;;;2.69E-05;;10.1016/j.tsf.2016.07.076
;Yb-4.3;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;6-phenyl-1,3,5-triazine-2,4-diamine;326-91-0;26676-98-2;FC(F)(F)C(=O)CC(=O)c1sccc1;Nc1nc(N)nc(n1)c2ccccc2;b-NPB;25;-5.2;-2.4;0.7;0.3;;;;;0.72;0.26;40;-7.12666566;-2.17555143;-6.398488596;-1.109408778;-5.92;-2.66;-6.944621394;-1.909015767;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;10;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;9.6;;42;7.9;;1.33;-5.92;-2.66;;;1.30E-07;;10.1016/j.tsf.2016.07.076
2016;Yb-4.4;4,4,4-trifluoro-1-(thiophen-2-yl)butane-1,3-dione;triphenylphosphine oxide;326-91-0;47027-44-1;FC(F)(F)C(=O)CC(=O)c1sccc1;O=[P](c1ccccc1)(c2ccccc2)c3ccccc3;b-NPB;25;-5.5;-2.4;0.4;0.3;;;;;0.42;0.26;40;-7.12666566;-2.17555143;-6.849653608;-0.766273024;-5.92;-2.66;-7.057412647;-1.823231829;-0.32;-0.56;TcTa ;0.11;TVD;-5.6;-2.1;0.78;0.24;BCP;15;-6.7;-2.9;-0.9;-0.2;Alq3;10;-5.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;120;-4.2;19.29;;47;7.7;;1.92;-5.92;-2.66;;;4.50E-08;;10.1016/j.poly.2016.06.024
2017;Yb-5;1,3-diphenylpropane-1,3-dione;(oxybis(4,1-phenylene))bis(diphenylphosphine oxide);120-46-7;808142-23-6;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;O=[P](c1ccccc1)(c2ccccc2)c3ccccc3Oc4ccccc4[P](=O)(c5ccccc5)c6ccccc6;a-NPD;30;-5.4;-2.4;0.5;0;mCP;10;-5.9;-2.4;0.2;-0.4;60;-6.700263022;-1.724658532;;;;;-6.700263022;-1.724658532;-0.6;0.28;DPEPO;0.25;TVD;-6.1;-2;0;0;DPEPO;10;-6.1;-2;0.7;0.7;TPBi;40;-6.8;-2.7;0.9;LiF;0.8;-3.6;0.6;;;;Al;100;-4.2;1.4;0.14;;5;42.6;0.4;;;;;;;10.1039/C7CC01580A
;;1,3-diphenylpropane-1,3-dione;(oxybis(4,1-phenylene))bis(diphenylphosphine oxide);120-46-7;808142-23-6;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;O=[P](c1ccccc1)(c2ccccc2)c3ccccc3Oc4ccccc4[P](=O)(c5ccccc5)c6ccccc6;a-NPD;30;-5.4;-2.4;0.5;0;mCP;10;-5.9;-2.4;0.2;-0.4;60;-6.700263022;-1.724658532;;;;;-6.700263022;-1.724658532;-0.6;0.28;DPEPO;1;TVD;-6.1;-2;0;0;DPEPO;10;-6.1;-2;0.7;0.7;TPBi;40;-6.8;-2.7;0.9;LiF;0.8;-3.6;0.6;;;;Al;100;-4.2;1.5;0.15;;5;42.6;0.4;;;;;;;10.1039/C7CC01580A
;;1,3-diphenylpropane-1,3-dione;water;120-46-7;7732-18-5;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;O;a-NPD;30;-5.4;-2.4;0.5;0;mCP;10;-5.9;-2.4;0.8;-0.68;60;-6.700263022;-1.724658532;;;;;-6.700263022;-1.724658532;;;;;TVD;;;-0.6;0.28;DPEPO;10;-6.1;-2;0.7;0.7;TPBi;40;-6.8;-2.7;0.9;LiF;0.8;-3.6;0.6;;;;Al;100;-4.2;0.72;0.09;;4;42.6;0.4;;;;;;;10.1039/C7CC01580A
2014;Yb-6;2-benzoyl-1,3-diphenylpropane-1,3-dione;;641-44-1;;O=C(C(C(=O)c1ccccc1)C(=O)c2ccccc2)c3ccccc3;;MoO3;2;-5.3;-2.3;0.6;0.1;mCP;60;-5.9;-2.4;0;0;30;-6.423795198;-2.156775564;;;;;-6.423795198;-2.156775564;-0.52;0.24;mCP;1;TVD;-5.9;-2.4;0.9;0.3;;;;;;;TPBi;25;-6.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;100;-4.2;390;0.17;;6;47;3.9;;;;;;;10.1039/C4CC04961F
2021;Yb-7.1;4,4,4-trifluoro-1-(naphthalen-2-yl)butane-1,3-dione;1,10-phenanthroline;893-33-4;66-71-7;FC(F)(F)C(=O)CC(=O)c1ccc2ccccc2c1;c1cnc2c(c1)ccc3cccnc23;PEDOT:PSS;40;-5.2;-2.3;0.6;-0.1;PVK;35;-5.8;-2.2;0.42;1.14;40;-6.364202232;-2.270519216;-6.258622;-1.426421588;-6.22;-3.34;-6.337807174;-2.059494809;;;;;TVD;;;0.58;-0.64;;;;;;;TPBi;18;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;40;-4.2;;0.042;;5;11;3.2;-6.22;-3.34;;;;;10.3103/S1068335621050055
2021;;4,4,4-trifluoro-1-(naphthalen-2-yl)butane-1,3-dione;1,10-phenanthroline;893-33-4;66-71-7;FC(F)(F)C(=O)CC(=O)c1ccc2ccccc2c1;c1cnc2c(c1)ccc3cccnc23;PEDOT:PSS;40;-5.2;-2.3;0.6;-0.1;PVK;35;-5.8;-2.2;0.42;1.14;40;-6.364202232;-2.270519216;-6.258622;-1.426421588;-6.22;-3.34;-6.337807174;-2.059494809;;;;;TVD;;;0.58;-0.64;;;;;;;TPBi;18;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;40;-4.2;11;;;;11;3.2;-6.22;-3.34;;;;;10.1016/j.dyepig.2021.109701
;Yb-7.2;4,4,4-trifluoro-1-(naphthalen-1-yl)butane-1,3-dione;1,10-phenanthroline;7639-68-1;66-71-7;FC(F)(F)C(=O)CC(=O)c1cccc2ccccc12;c1cnc2c(c1)ccc3cccnc23;PEDOT:PSS;40;-5.2;-2.3;0.6;-0.1;PVK;35;-5.8;-2.2;0.38;1.14;40;-6.364202232;-2.270519216;-6.258622;-1.426421588;-6.18;-3.34;-6.337807174;-2.059494809;;;;;TVD;;;0.62;-0.64;;;;;;;TPBi;18;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;40;-4.2;30;0.032;;8;8.83;2.2;-6.18;-3.34;;;;;10.1016/j.dyepig.2021.109701
2022;Yb-8.1;5-methyl-2-phenyl-4-(2,2,2-trifluoroacetyl)-2,4-dihydro-3H-pyrazol-3-one;1,10-phenanthroline;Not defined;66-71-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)C(F)(F)F;c1cnc2c(c1)ccc3cccnc23;MoO3;1;-5.3;-2.3;0.2;0.1;NPB;40;-5.5;-2.4;0;0.4;20;-6.043379826;-2.233239598;-6.258622;-1.426421588;-5.944666;-2.685407;-6.09719037;-2.031535096;-0.44;0.11;Bebq2;1;TVD;-5.5;-2.8;0;0;;;;;;;Bebq2;40;-5.5;-2.8;0.8;LiF;1.2;-3.6;0.6;;;;Al;40;-4.2;2;;;5.5;;;;;;;;12;10.1007/s10853-021-06721-4
;Yb-8.2;5-methyl-2-phenyl-4-(2,2,2-trifluoroacetyl)-2,4-dihydro-3H-pyrazol-3-one;2,2'-bipyridine;Not defined;366-18-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)C(F)(F)F;c1ccc(nc1)c2ccccn2;MoO3;1;-5.3;-2.3;0.2;0.1;NPB;40;-5.5;-2.4;0;0.4;20;-6.043379826;-2.233239598;-6.36474646;-1.33607974;-6.050368;-2.6774915;-6.123721485;-2.008949634;-0.55;0.12;Bebq2;1;TVD;-5.5;-2.8;0;0;;;;;;;Bebq2;40;-5.5;-2.8;0.8;LiF;1.2;-3.6;0.6;;;;Al;40;-4.2;1.8;;;5.5;;;;;;;;12;10.1007/s10853-021-06721-4
;Yb-8.3;5-methyl-2-phenyl-4-(2,2,2-trifluoroacetyl)-2,4-dihydro-3H-pyrazol-3-one;4,7-diphenyl-1,10-phenanthroline;Not defined;1662-01-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)C(F)(F)F;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;MoO3;1;-5.3;-2.3;0.2;0.1;NPB;40;-5.5;-2.4;0;0.4;20;-6.043379826;-2.233239598;-6.016712654;-1.696358676;;;-6.036713033;-2.099019368;-0.54;0.7;Bebq2;1;TVD;-5.5;-2.8;0;0;;;;;;;Bebq2;40;-5.5;-2.8;0.8;LiF;1.2;-3.6;0.6;;;;Al;40;-4.2;2.2;;;5;;;;;;;;12;10.1007/s10853-021-06721-4
2023;Yb-9.1;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;PEDOT-PSS;40;-5.2;-2.3;0;0;poly-TPD;15;-5.2;-2.3;0.8;0.6;40;-6.700263022;-1.724658532;-6.016712654;-1.696358676;;;-6.52937543;-1.717583568;-0.53;1.18;CBP;0.33;SP;-6;-2.9;0.8;-0.2;;;;;;;TPBi;15;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;12;;9;5.5;8.7;0.5;;;;;;12;10.1021/acsaom.3c00124
;Yb-9.2;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;PEDOT-PSS;40;-5.2;-2.3;0;0;poly-TPD;15;-5.2;-2.3;0.8;0.6;40;-6.700263022;-1.724658532;-6.016712654;-1.696358676;;;-6.52937543;-1.717583568;-0.53;1.18;CBP;0.33;SP;-6;-2.9;0.8;-0.2;;;;;;;TPBi;15;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;13;;9.8;6;8.1;0.6;;;;;;12;10.1021/acsaom.3c00124
;Yb-9.3;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;PEDOT-PSS;40;-5.2;-2.3;0;0;poly-TPD;15;-5.2;-2.3;0.8;0.6;40;-6.700263022;-1.724658532;-6.016712654;-1.696358676;;;-6.52937543;-1.717583568;-0.53;1.18;CBP;0.33;SP;-6;-2.9;0.8;-0.2;;;;;;;TPBi;15;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;19;;9.6;6;7.8;0.8;;;;;;12;10.1021/acsaom.3c00124
2024;Yb-10;4,4,4-trifluoro-1-phenylbutane-1,3-dione;4,4'-dinonyl-2,2'-bipyridine;;;;;HAT-CN;10;-9.62;-5.42;-4.1;-3.1;TSBPA/mCP;42;-5.51;-2.3;0.39;0.1;20;;;;;-6.2355965;-2.2193715;;;-0.34;0.18;mCP:TPBi(6:4);0.2;TVD;-5.9;-2.4;0.9;0.3;;;;;;;TPBi;50;-6.8;-2.7;0.9;LiF;0.8;-3.6;0.6;;;;Al;100;-4.2;121;0.1;;4;;;;;;;;8;10.1039/D4TC00902A
